"id";"releaseORIG";"duracao_filme";"nomeBRA";"ROE";"diretor";"releaseBRA";"delay_lancamentoBR";"Distribuidora";"pop_dir";"pop_cast"
575600;"2019-03-20";91;"QUI M'AIME ME SUIVE";"E1900592500000";"José Alcala";"2020-02-08";325;0;3,115;12,2158
576079;"2019-11-21";90;"QUERÊNCIA";"B1900507200000";"Helvécio Marins Jr.";"2020-12-19";394;0;1,239;NA
531428;"2019-09-18";121;"PORTRAIT DE LA JEUNE FILLE EN FEU";"E1900608900000";"Céline Sciamma";"2020-01-11";115;0;10,413;23,9974
486589;"2019-07-25";92;"RED SHOES AND THE SEVEN DWARF";"E2000138100000";"Hong Sung-ho";"2021-01-02";527;1;5,362;61,9604
385103;"2020-07-08";93;"SCOOB!";"E2000026400000";"Tony Cervone";"2020-09-12";66;1;16,519;57,868
626236;"2019-08-30";0;"SE ARREPENDIMENTO MATASSE";"B1900331600000";"Lília Moema Santana";"2020-10-24";421;0;0,001;1,4798
510298;"2019-12-13";103;"SEBERG";"E2000043500000";"Benedict Andrews";"2020-03-07";85;0;2,514;57,9446
651903;"2019-12-09";78;"SEM DESCANSO";"B1900269000000";"Bernard Attal";"2020-11-07";334;0;1,399;NA
594478;"2019-09-10";97;"SERTÂNIA";"B1900597200000";"Geraldo Sarno";"2020-12-05";452;0;4,236;2,2576
807;"1995-09-22";127;"SE7EN";"E1500165800000";"David Fincher";"2020-08-29";9108;1;32,209;59,8018
752661;"2020-10-22";71;"SOBRADINHO";"B1800019400000";"Marília Hughes,Cláudio Marques";"2020-12-26";65;0;1,885;NA
594137;"2019-11-14";83;"SOLDADO ESTRANGEIRO";"B1900035900000";"José Joffily,Pedro Rossi";"2020-12-05";387;0;2,7165;NA
675418;"2020-03-12";0;"SOLTEIRA QUASE SURTANDO";"B2000040200000";"Caco Souza";"2020-03-14";2;0;4,667;4,6704
454626;"2020-02-12";99;"SONIC THE HEDGEHOG";"E2000012200000";"Jeff Fowler";"2020-02-15";3;1;16,239;38,5812
515929;"2019-03-19";110;"TARDE PARA MORIR JOVEN";"B1900363400000";"Dominga Sotomayor";"2020-02-29";347;0;3,3;3,8516
582880;"2019-11-07";112;"TECHNOBOSS";"E1900533200000";"João Nicolau";"2020-03-14";128;0;2,895;5,6136
539056;"2018-08-23";100;"TEL AVIV ON FIRE";"E2000041500000";"Sameh Zoabi";"2020-04-18";604;0;1,732;12,1488
577922;"2020-08-22";150;"TENET";"E2000228900000";"Christopher Nolan";"2020-10-31";70;1;79,368;44,1396
779202;"2021-08-04";84;"TERAPIA DO MEDO";"B1900439300000";"Roberto Moreira";"2020-12-19";-228;0;1,407;5,6994
416194;"2018-08-31";106;"SKJELVET";"E1900615600000";"John Andreas Andersen";"2020-03-14";561;0;3,14;15,1404
655289;"2020-12-10";120;"TODOS OS MORTOS";"B2000436400000";"Caetano Gotardo,Marco Dutra";"2020-12-12";2;0;6,0775;3,0086
446893;"2020-03-11";90;"TROLLS WORLD TOUR";"E1900440100000";"Walt Dohrn";"2020-12-05";269;1;34,725;32,4372
431693;"2019-12-04";102;"SPIES IN DISGUISE";"E2000002000000";"Troy Quane,Nick Bruno";"2020-01-25";52;1;10,0925;63,7288
501907;"2019-09-07";109;"A BEAUTIFUL DAY IN THE NEIGHBORHOOD";"E1900507300000";"Marielle Heller";"2020-01-25";140;0;13,291;44,4774
939342;NA;0;"A QUIET PLACE: PART II";"E2000011800000";"John Krasinski";"2021-07-24";NA;1;NA;NA
648858;"2019-11-16";70;"UMA GAROTA CHAMADA MARINA";"B1900525000000";"Candé Salles";"2020-01-25";70;0;2,719;NA
403300;"2019-08-27";174;"A HIDDEN LIFE";"E1900586200000";"Terrence Malick";"2020-02-29";186;1;20,532;16,1702
483983;"2018-09-27";125;"BALLON";"E1900477900000";"Michael Herbig";"2019-11-09";408;0;19,612;19,7372
752666;"2020-11-05";111;"VERLUST";"B1900468100000";"Esmir Filho";"2020-11-07";2;0;4,763;7,682
597110;"2019-11-20";105;"TO LIVE TO SING";"E2000095200000";"Johnny Ma";"2020-10-10";325;0;1,039;0,001
522369;"2019-10-04";101;"SORRY WE MISSED YOU";"E1900582600000";"Ken Loach";"2020-02-29";148;0;23,323;5,6598
604512;"2019-11-26";80;"VOLUME MORTO";"B2000101100000";"Kauê Telloli";"2020-08-22";270;0;4,33;NA
615228;"2020-03-05";107;"VOU NADAR ATÉ VOCÊ";"B1900380000000";"Klaus Mitteldorf";"2020-03-07";2;0;0,001;15,5482
370172;"2021-09-29";163;"NO TIME TO DIE";"E1900438800000";"Cary Joji Fukunaga";"2021-10-02";3;1;11,682;57,1662
785538;"2021-10-22";93;"7 PRISIONEIROS";"B2100436200000";"Alexandre Moratto";"2021-11-06";15;0;2,779;9,4858
681260;"2021-01-07";88;"MAYA THE BEE 3: THE GOLDEN ORB";"E2100322800000";"Alexs Stadermann,Noel Cleary";"2021-09-25";261;0;4,493;5,9938
575291;"2020-03-11";108;"HOW TO A GOOD WIFE";"E2000543100000";"Martin Provost";"2021-06-19";465;0;8,077;24,0034
618214;"2020-03-06";104;"THE PERFECT CANDIDATE";"E2100320300000";"Haifaa al-Mansour";"2021-08-28";540;0;5,341;1,6616
542178;"2021-10-21";108;"THE FRENCH DISPATCH";"E2100432700000";"Wes Anderson";"2021-11-20";30;1;47,28;54,7858
575463;"2020-09-09";104;"LA DARONNE";"E2100362600000";"Jean-Paul Salomé";"2021-09-25";381;0;4,495;18,0048
639721;"2021-10-01";93;"THE ADDAMS FAMILY 2";"E2100404800000";"Greg Tiernan,Conrad Vernon";"2021-10-30";29;1;15,2805;61,3054
565028;"2021-08-25";91;"CANDYMAN";"E2000079500000";"Nia DaCosta";"2021-08-28";3;1;13,279;18,8874
722778;"2021-11-24";130;"THE HAND OF GOD";"E2100476500000";"Paolo Sorrentino";"2021-12-04";10;0;17,347;16,653
605322;"2019-06-06";75;"A MULHER DA LUZ PRÓPRIA";"B1900320300000";"Sinai Sganzerla";"2021-04-11";675;0;2,915;NA
662401;"2020-09-17";77;"THE WOMAN WHO RAN";"E2100483100000";"Hong Sang-soo";"2022-02-12";513;0;25,19;26,399
776490;"2021-04-01";105;"A NUVEM ROSA";"B2100113900000";"Iuli Gerbase";"2021-08-28";149;0;0,755;1,6996
745882;"2019-02-06";77;"A PONTE DE BAMBU";"B2000234700000";"Marcelo Machado";"2021-01-30";724;0;5,715;NA
661595;"2021-08-26";112;"A PRINCESA DA YAKUZA";"B2100271200000";"Vicente Amorim";"2021-10-09";44;1;12,648;17,2464
645788;"2021-08-19";109;"THE PROTEGE";"E2100371700000";"Martin Campbell";"2021-11-13";86;0;11,388;49,1516
838767;"2020-06-17";76;"A QUEM INTERESSA A IGNORÂNCIA?";"B1900597000000";"Alexandre Carvalho";"2021-06-05";353;0;2,038;NA
769223;"2020-12-24";94;"A SOGRA PERFEITA";"B2000484000000";"Cris D'amato";"2021-11-27";338;1;4,37;8,215
795780;"2021-04-18";74;"A ÚLTIMA FLORESTA";"B2100065700000";"Luiz Bolognesi";"2021-09-11";146;0;4,811;0,001
484297;"2020-12-24";85;"ABE";"B2000497700000";"Fernando Grostein Andrade";"2021-08-07";226;1;2,924;25,305
637635;"2019-10-17";105;"ACQUA MOVIE";"B2000096500000";"Lírio Ferreira";"2021-06-12";604;0;1,214;10,5086
744275;"2021-09-01";99;"AFTER WE FELL";"E2100295400000";"Castille Landon";"2021-09-05";4;0;12,892;41,7242
588921;"2021-02-09";84;"AINBO - THE SPIRIT OF THE AMAZON";"E2000550900000";"Richard Claus,José Zelada";"2021-10-02";235;1;5,7645;7,67
554761;"2020-10-02";112;"FALLING";"E2100490100000";"Viggo Mortensen";"2021-12-04";428;0;71,174;39,057
728142;"2020-09-10";96;"NOWHERE SPECIAL";"E2100216600000";"Uberto Pasolini";"2021-06-19";282;0;13,061;14,1208
592480;"2019-05-18";103;"ALICE ET LE MAIRE";"E2100068100000";"Nicolas Pariser";"2021-05-29";742;0;3,87;15,2684
527400;"2020-11-12";94;"COME AWAY";"E2000503200000";"Brenda Chapman";"2021-06-05";205;0;15,419;42,7272
619154;"2020-09-11";87;"ALICE JÚNIOR";"B2000154900000";"Gil Baroni";"2020-09-12";1;0;2,666;0,8284
804775;"2021-04-13";80;"ALVORADA";"B2100156800000";"Lô Politi,Anna Muylaert";"2021-05-29";46;0;5,582;1,4728
671119;"2021-10-14";81;"AMARRAÇÃO DO AMOR";"B2000454300000";"Caroline Fioratti";"2021-10-16";2;1;3,534;5,8568
830663;"2021-05-17";82;"AMIGAS DE SORTE";"B1900594800000";"Homero Olivetto";"2021-03-20";-58;0;2,593;13,3526
607950;"2019-06-16";77;"AMIGO ARRIGO";"B2000163700000";"Alain Fresnot,Junior Carone";"2021-11-06";874;0;1,355;7,1792
887645;"2021-11-18";94;"AMOR SEM MEDIDA";"B2100401000000";"Ale McHaddo";"2021-11-06";-12;0;12,043;17,6626
627103;"2020-12-04";96;"LOVE, WEDDINGS & OTHER DISASTERS";"E2100171500000";"Dennis Dugan";"2021-05-22";169;0;19,503;41,7428
511809;"2021-12-08";156;"WEST SIDE STORY";"E2100515600000";"Steven Spielberg";"2021-12-11";3;1;73,017;27,082
747002;"2020-10-02";111;"ANA. SEM TITULO";"B2000319700000";"Lúcia Murat";"2021-07-31";302;0;4,042;3,0256
424277;"2021-07-07";140;"ANNETTE";"E2100486300000";"Leos Carax";"2021-12-25";171;0;12,278;34,8954
578701;"2021-05-05";100;"THOSE WHO WISH ME DEAD";"E2100145600000";"Taylor Sheridan";"2021-05-29";24;1;39,895;62,6496
589540;"2019-08-15";108;"ARAÑA";"B2100294600000";"Andrés Wood";"2021-09-25";772;0;5,637;23,7814
600583;"2021-10-25";126;"THE POWER OF THE DOG";"E2100476600000";"Jane Campion";"2021-11-20";26;0;16,486;53,9006
620039;"2019-10-02";76;"LE REGARD DE CHARLES";"E2000454800000";"Marc di Domenico";"2021-02-13";500;0;3,801;10,9496
659954;"2021-09-10";100;"AZOR";"E2100412500000";"Andreas Fontana";"2021-12-18";99;0;4,199;4,4536
575088;"2020-02-27";96;"YAGA. KOSHMAR TYOMNOGO LESA";"E2100430900000";"Svyatoslav Podgaevsky";"2021-12-11";653;0;9,844;21,8774
618386;"2020-11-26";74;"BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU";"B2000006500000";"Bárbara Paz";"2020-11-28";2;0;9,087;23,9686
488695;"2019-11-28";105;"BAGHDAD IN MY SHADOW";"E2100115200000";"Samir";"2021-09-04";646;0;5,079;8,7778
582014;"2020-12-13";113;"PROMISING YOUNG WOMAN";"E2000546500000";"Emerald Fennell";"2021-05-15";153;1;14,92;51,137
454527;"2021-07-09";131;"BENEDETTA";"E2100515700000";"Paul Verhoeven";"2022-01-15";190;0;17,961;35,6454
575659;"2020-06-25";184;"BERLIN ALEXANDERPLATZ";"E2000531100000";"Burhan Qurbani";"2021-02-20";240;0;3,337;22,2134
745884;"2019-06-05";73;"BOA NOITE";"B1900376800000";"Clarice Saliby";"2021-05-15";710;0;0,967;NA
831760;"2021-11-11";90;"BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE";"B2100017700000";"Cesar Cabral";"2021-11-13";2;0;2,899;6,0528
667241;"2021-10-21";86;"CABEÇA DE NÊGO";"B2000386800000";"Déo Cardoso";"2021-10-23";2;0;1,324;0,5072
480502;"2017-10-19";0;"CALLADO";"B1900390400000";"Emília Silveira";"2021-01-23";1192;0;0,001;NA
579047;"2021-08-18";116;"REMINISCENCE";"E2100277000000";"Lisa Joy";"2021-08-21";3;1;6,798;68,6744
650696;"2019-11-30";0;"CAMPUS SANTO";"B1700578900000";"Marcio Curi";"2021-09-15";655;0;0,519;4,412
644495;"2021-11-24";158;"HOUSE OF GUCCI";"E2100465100000";"Ridley Scott";"2021-11-27";3;1;38,347;43,118
667246;"2020-02-01";85;"CAVALO";"B2000130600000";"Rafhael Barbosa,Werner Salles Bagetti";"2021-08-14";560;0;0,0955;0,001
788328;"2021-01-28";0;"CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR";"B2000183900000";"Cláudio Manoel,Micael Langer";"2021-01-30";2;0;2,5175;5,0734
577024;"2019-02-10";109;"CHÃO";"B1900203000000";"Camila Freitas";"2021-05-01";811;0;2,824;0,001
661932;"2020-09-02";96;"HONEY CIGAR";"E2100423900000";"Kamir Aïnouz";"2021-11-13";437;0;1,423;10,7838
589761;"2021-04-15";136;"CHERNOBYL: ABYSS";"E2100461100000";"Danila Kozlovsky";"2021-11-20";219;1;40,345;33,8862
616980;"2020-12-10";85;"CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO";"B2000433100000";"Alex Piperno";"2021-07-10";212;0;0,426;0,8756
637612;"2021-04-08";75;"CHORÃO: MARGINAL ALADO";"B2000158900000";"Felipe Novaes";"2021-03-27";-12;0;0,001;3,095
522170;"2018-05-31";113;"CHRISTABEL";"B1800174900000";"Alex Levy Heller";"2021-02-27";1003;0;0,511;4,8602
613614;"2020-02-20";92;"CITOYENS DU MONDE";"E2100337800000";"Gianni Di Gregorio";"2021-09-11";569;0;3,16;13,2318
590506;"2021-06-03";76;"CINE MARROCOS";"B1800607100000";"Ricardo Calil";"2021-06-05";2;0;2,18;3,0724
585245;"2021-11-10";97;"CLIFFORD THE BIG RED DOG";"E2100448400000";"Walt Becker";"2021-12-04";24;1;10,296;36,408
838368;"2021-06-24";109;"CORRENDO POR UM SONHO";"B2000102800000";"Tomás Portella";"2021-06-26";2;0;3,873;8,0712
561032;"2019-04-19";106;"CRAVOS";"B1900005600000";"Marco del Fiol";"2021-11-27";953;0;0,903;NA
337404;"2021-05-26";134;"CRUELLA";"E2100154000000";"Craig Gillespie";"2021-05-29";3;1;14,13;49,2432
749274;"2021-09-16";104;"CRY MACHO";"E2100328400000";"Clint Eastwood";"2021-09-18";2;1;90,696;31,164
752622;"2021-04-15";87;"CURRAL";"B2100324700000";"Marcelo Brennand";"2021-11-13";212;0;0,001;7,7864
886511;"2021-10-28";82;"CURUPIRA O DEMÔNIO DA FLORESTA";"B2100367400000";"Erlanes Duarte";"2021-10-30";2;0;0,001;0,6196
872197;"2021-09-09";72;"DANÇAS NEGRAS";"B1900072300000";"João Marcos Nascimento,Firmino Pitanga";"2021-09-11";2;0;0,001;0,001
659991;"2020-07-09";94;"MADE IN ITALY";"E2100227600000";"James D'Arcy";"2021-10-30";478;0;28,141;37,4982
575768;"2023-09-23";86;"COMING HOME AGAIN";"E2100195500000";"Wayne Wang";"2021-09-11";-742;0;15,149;9,6674
785248;"2021-01-14";0;"DELICADEZA É AZUL";"B1800381100000";"Yasmin Garcez,Sandro Arieta";"2021-01-16";2;0;0,001;NA
635302;"2020-10-16";117;"DEMON SLAYER: MUGEN TRAIN";"E2100140400000";"Haruo Sotozaki";"2021-05-15";211;0;28,245;44,0662
752628;"2020-11-09";91;"DENTE POR DENTE";"B2000440700000";"Pedro Arantes,Julio Taubkin";"2021-01-30";82;0;0,601;11,6194
637881;"2020-04-23";91;"DEPOIS A LOUCA SOU EU";"B2000078000000";"Julia Rezende";"2021-02-27";310;1;7,678;8,718
856321;"2021-11-25";121;"DESERTO PARTICULAR";"B2100408300000";"Aly Muritiba";"2021-11-27";2;0;4,487;7,9662
793285;"2021-10-04";91;"GOD'S NOT DEAD: WE THE PEOPLE";"E2100436900000";"Vance Null";"2021-11-13";40;0;1,862;16,1738
760154;"2021-08-18";96;"DIÁRIOS DE INTERCÂMBIO";"B2100260000000";"Bruno Garotti";"2021-07-24";-25;1;5,454;12,0132
664177;"2020-12-10";90;"ADN";"E2000480200000";"Maïwenn";"2021-10-02";296;0;20,73;19,6388
719284;"2020-06-26";83;"DORA E GABRIEL";"B2000468500000";"Ugo Giorgetti";"2021-09-25";456;0;3,398;NA
844532;"2021-07-29";92;"DOUTOR GAMA";"B2100299900000";"Jeferson De";"2021-08-07";9;0;6,698;4,36
580175;"2020-09-24";117;"DRUK";"E2100078400000";"Thomas Vinterberg";"2021-03-27";184;0;12,785;27,4332
438631;"2021-09-15";155;"DUNE";"E2100356100000";"Denis Villeneuve";"2021-10-23";38;1;30,324;88,3676
522931;"2021-06-14";117;"THE HITMAN’S WIFE’S BODYGUARD";"E2100215100000";"Patrick Hughes";"2021-07-31";47;1;10,147;107,3058
614420;"2020-12-30";100;"WHEN MOM IS AWAY… WITH THE FAMILY /10 GIORNI CON BABBO NATALE";"E2100476300000";"Alessandro Genovesi";"2021-12-11";346;0;9,574;10,2994
638220;"2019-10-08";78;"THE ELFKINS - BAKING A DIFFERENCE";"E2000077600000";"Ute von Münchow-Pohl";"2020-10-17";375;0;5,459;23,0334
712178;"2020-11-11";95;"GAGARINE";"E2000480100000";"Fanny Liatard,Jérémy Trouilh";"2021-08-28";290;0;1,2795;10,9888
764443;"2021-08-12";106;"EL EMPLEADO Y EL PATRÓN";"B2100271900000";"Manolo Nieto";"2021-08-14";2;0;1,862;8,8158
425001;"2020-08-27";98;"THE WAR WITH GRANDPA";"E2000513500000";"Tim Hill";"2021-05-22";268;0;20,374;50,4134
467909;"2021-06-10";143;"IN THE HEIGHTS";"E2100079700000";"Jon M. Chu";"2021-06-19";9;1;18,466;24,0962
540709;"2019-09-26";107;"EMA";"E2100264500000";"Pablo Larraín";"2021-08-14";688;0;11,829;19,9384
568124;"2021-10-13";102;"ENCANTO";"E2100480200000";"Byron Howard,Jared Bush";"2021-11-27";45;1;13,708;32,2904
637847;"2019-10-18";0;"ENCARCERADOS";"B2000008400000";"Fernando Grostein Andrade,Claudia Calabi,Pedro Bial";"2021-08-28";680;0;4,07766666666667;NA
752656;"2020-10-22";78;"ENTRE NÓS, UM SEGREDO";"B2000436900000";"Beatriz Seigner,Toumani Kouyaté";"2021-05-01";191;0;1,276;NA
585216;"2021-07-01";88;"ESCAPE ROOM: TOURNAMENT OF CHAMPIONS";"E2100264000000";"Adam Robitel";"2021-09-18";79;0;13,793;29,5256
602734;"2021-05-12";93;"SPIRAL - FROM THE BOOK OF SAW";"E2000045200000";"Darren Lynn Bousman";"2021-06-19";38;1;12,823;40,523
516329;"2021-10-28";99;"ANTLERS";"E2000099100000";"Scott Cooper";"2021-10-30";2;1;14,605;34,725
524434;"2021-11-03";156;"ETERNALS";"E2100371000000";"Chloé Zhao";"2021-11-06";3;1;7,836;60,5858
500895;"2019-03-28";105;"ICH WAR ZUHAUSE, ABER";"E2100073000000";"Angela Schanelec";"2021-06-12";807;0;5,732;6,7538
475888;"2018-09-09";106;"TELL IT TO THE BEES";"E2000418200000";"Annabel Jankel";"2021-01-23";867;0;10,183;33,2634
823609;"2021-10-15";103;"MONSTER FAMILY 2";"E2100424300000";"Holger Tappe";"2021-12-11";57;1;6,156;37,6674
390635;"2020-08-15";120;"FATE STAY NIGHT HEAVENS FEEL: III - SPRING SONG";"E2100105900000";"Tomonori Sudo";"2021-05-08";266;0;9,566;27,6664
558582;"2019-08-30";122;"FIRST COW";"E2100163600000";"Kelly Reichardt";"2021-06-12";652;0;9,56;25,7496
550988;"2021-08-11";115;"FREE GUY";"E2000343600000";"Shawn Levy";"2021-08-21";10;1;54,506;69,6724
896244;"2021-11-18";92;"GALERIA FUTURO";"B2100363400000";"Fernando Sanches,Afonso Poyart";"2021-11-20";2;0;3,3715;11,2808
876262;"2021-09-23";85;"GAROTA DA MOTO";"B2000367000000";"Luis Pinheiro";"2021-09-25";2;1;2,367;7,5868
399566;"2021-03-24";114;"GODZILLA VS. KONG";"E2100040700000";"Adam Wingard";"2021-05-08";45;1;18,241;50,539
610253;"2021-10-14";105;"HALLOWEEN KILLS";"E2100386500000";"David Gordon Green";"2021-10-16";2;1;14,467;33,2262
618239;"2019-09-06";86;"HAVA, MARYAM, AYESHA";"E2100234300000";"Sahraa Karimi";"2021-07-10";673;0;0,4;NA
853662;"2021-08-26";93;"HOMEM ONÇA";"B2000173600000";"Vinícius Reis";"2021-08-28";2;0;3,002;7,6248
634649;"2021-12-15";148;"SPIDER-MAN: NO WAY HOME";"E2100453300000";"Jon Watts";"2021-12-18";3;0;18,874;64,55
537140;"2019-10-03";100;"HOPE GAP";"E1900268300000";"William Nicholson";"2021-11-20";779;0;16,178;36,0914
645886;"2021-11-24";112;"THE UNFORGIVABLE";"E2100476700000";"Nora Fingscheidt";"2021-11-27";3;0;7,706;56,1768
637649;"2021-04-22";119;"WRATH OF MAN";"E2100139100000";"Guy Ritchie";"2021-08-28";128;0;53,857;82,7804
651915;"2021-12-26";90;"INTERVENÇÃO";"B1900478400000";"Caio Cobra";"2021-08-28";-120;1;1,795;13,2752
423108;"2021-05-25";111;"THE CONJURING: THE DEVIL MADE ME DO IT";"E2100196000000";"Michael Chaves";"2021-06-05";11;1;8,259;33,8028
669665;"2020-09-24";120;"PADRENOSTRO";"E2000530300000";"Claudio Noce";"2021-07-24";303;0;2,458;11,34
512056;"2019-10-03";124;"ADULTS IN THE ROOM";"E2100227300000";"Costa-Gavras";"2021-08-14";681;0;16,25;16,2418
